,Date,Team,Acquired,Relinquished,Notes
37266,3/10/2023,Nuggets, Vlatko Cancar,,activated from IL
37267,3/10/2023,Pacers,, Bennedict Mathurin,placed on IL with sprained right ankle
37268,3/10/2023,Pistons,, Jaden Ivey,placed on IL with NBA health and safety protocols
37269,3/10/2023,Spurs, Doug McDermott,,activated from IL
37270,3/10/2023,Spurs, Jeremy Sochan,,activated from IL
37271,3/10/2023,Spurs, Romeo Langford,,activated from IL
37272,3/10/2023,Spurs, Tre Jones,,activated from IL
37273,3/10/2023,Timberwolves,, Austin Rivers,placed on IL with back spasms
37245,3/9/2023,Bucks, Jrue Holiday,,activated from IL
37246,3/9/2023,Jazz, Walker Kessler,,activated from IL
37247,3/9/2023,Knicks, Jalen Brunson,,activated from IL
37248,3/9/2023,Lakers, D'Angelo Russell,,activated from IL
37249,3/9/2023,Magic, Admiral Schofield,,activated from IL
37250,3/9/2023,Pacers, Aaron Nesmith,,activated from IL
37251,3/9/2023,Pistons,, Isaiah Stewart,placed on IL with left shoulder injury
37252,3/9/2023,Pistons, Jalen Duren,,activated from IL
37253,3/9/2023,Warriors,, Jonathan Kuminga,placed on IL with sprained left ankle
37254,3/9/2023,Bucks, Giannis Antetokounmpo,,activated from IL
37255,3/9/2023,Bucks,, Giannis Antetokounmpo,placed on IL with right hand injury
37232,3/8/2023,Blazers, Jusuf Nurkic,,activated from IL
37233,3/8/2023,Celtics,, Payton Pritchard,placed on IL with left heel injury
37234,3/8/2023,Clippers,, Brandon Boston Jr. / B.J. Boston Jr.,placed on IL with tailbone injury
37235,3/8/2023,Heat, Kevin Love,,activated from IL
37236,3/8/2023,Kings, De'Aaron Fox,,activated from IL
37237,3/8/2023,Magic, Gary Harris,,activated from IL
37238,3/8/2023,Mavericks,, Maximilian Kleber / Maxi Kleber,placed on IL with right hamstring injury
37239,3/8/2023,Mavericks,, Reggie Bullock,placed on IL with bruised right quadriceps
37240,3/8/2023,Nets,, Cameron Johnson,placed on IL with sore right knee
37241,3/8/2023,Nets,, Nicolas Claxton / Nic Claxton,placed on IL with various injuries
37242,3/8/2023,Nets,, Royce O'Neale,placed on IL with sore left knee
37243,3/8/2023,Rockets,, Kevin Porter Jr.,placed on IL with bruised thigh
37244,3/8/2023,Wizards, Monte Morris,,activated from IL
37220,3/7/2023,Bucks,, Giannis Antetokounmpo,placed on IL with illness
37221,3/7/2023,Bucks,, Jrue Holiday,placed on IL with sore neck
37222,3/7/2023,Celtics, Jayson Tatum,,activated from IL
37223,3/7/2023,Jazz,, Jordan Clarkson,placed on IL with sprained finger
37224,3/7/2023,Jazz,, Walker Kessler,placed on IL with illness
37225,3/7/2023,Magic,, Admiral Schofield,placed on IL with concussion
37226,3/7/2023,Mavericks,, JaVale McGee,placed on IL with sprained right ankle
37227,3/7/2023,Mavericks, Maximilian Kleber / Maxi Kleber,,activated from IL
37228,3/7/2023,Pistons,, Alec Burks,placed on IL with sore left foot
37229,3/7/2023,Pistons,, Hamidou Diallo,placed on IL with sprained right ankle
37230,3/7/2023,Pistons, Rodney McGruder,,activated from IL
37231,3/7/2023,Wizards, Kyle Kuzma,,activated from IL
37210,3/6/2023,Bucks,, Goran Dragic,placed on IL with sore left knee
37211,3/6/2023,Celtics,, Jayson Tatum,placed on IL with bruised left knee
37212,3/6/2023,Celtics, Malcolm Brogdon,,activated from IL
37213,3/6/2023,Heat,, Kevin Love,placed on IL with bruised ribcage DTD)
37214,3/6/2023,Jazz, Lauri Markkanen,,activated from IL
37215,3/6/2023,Kings,, De'Aaron Fox,placed on IL with left hamstring injury
37216,3/6/2023,Kings, Richaun Holmes,,activated from IL
37217,3/6/2023,Pelicans, Jonas Valanciunas,,activated from IL
37218,3/6/2023,Pistons,, Rodney McGruder,placed on IL with sprained right ankle
37219,3/6/2023,Pistons, Alec Burks,,activated from IL
37187,3/5/2023,Clippers, Ivica Zubac,,activated from IL
37188,3/5/2023,Grizzlies,, Jake LaRavia,placed on IL with sore back
37189,3/5/2023,Grizzlies,, Vince Williams Jr.,placed on IL with sore right shoulder
37190,3/5/2023,Hornets, P.J. Washington,,activated from IL
37191,3/5/2023,Knicks,, Jalen Brunson,placed on IL with sore left foot
37192,3/5/2023,Magic,, Gary Harris,placed on IL with left adductor injury
37193,3/5/2023,Magic,, Wendell Carter Jr.,placed on IL with left hip injury
37194,3/5/2023,Mavericks,, Maximilian Kleber / Maxi Kleber,placed on IL with right hamstring injury
37195,3/5/2023,Mavericks, Davis Bertans,,activated from IL
37196,3/5/2023,Nets, Yuta Watanabe,,activated from IL
37197,3/5/2023,Pacers,, Aaron Nesmith,placed on IL with sore left hip
37198,3/5/2023,Pacers, Tyrese Haliburton,,activated from IL
37199,3/5/2023,Rockets, Jae'Sean Tate,,activated from IL
37200,3/5/2023,Spurs,, Jeremy Sochan,placed on IL with sore right knee
37201,3/5/2023,Spurs,, Romeo Langford,placed on IL with left adductor injury
37202,3/5/2023,Spurs,, Tre Jones,placed on IL with left foot injury
37203,3/5/2023,Spurs, Devin Vassell,,activated from IL
37204,3/5/2023,Spurs, Keldon Johnson,,activated from IL
37205,3/5/2023,Spurs, Malaki Branham,,activated from IL
37206,3/5/2023,Suns, Terrence Ross,,activated from IL
37207,3/5/2023,Warriors, Andre Iguodala,,activated from IL
37208,3/5/2023,Warriors, Stephen Curry,,activated from IL
37209,3/5/2023,Wizards,, Kyle Kuzma,placed on IL with knee injury
37176,3/4/2023,76ers, Dewayne Dedmon,,activated from IL
37177,3/4/2023,Celtics,, Robert Williams III,placed on IL with strained left hamstring
37178,3/4/2023,Clippers, Marcus Morris,,activated from IL
37179,3/4/2023,Grizzlies,, Brandon Clarke,placed on IL with torn left Achilles tendon (out for season)
37180,3/4/2023,Jazz,, Lauri Markkanen,placed on IL with sore lower back
37181,3/4/2023,Jazz, Jordan Clarkson,,activated from IL
37182,3/4/2023,Jazz, placed on IL with sprained right thumb,,activated from IL
37183,3/4/2023,Pistons, Isaiah Livers,,activated from IL
37184,3/4/2023,Spurs,, Malaki Branham,placed on IL with sore lower back
37185,3/4/2023,Spurs, Romeo Langford,,activated from IL
37186,3/4/2023,Thunder, Shai Gilgeous-Alexander,,activated from IL
37162,3/3/2023,Blazers,, Anfernee Simons,placed on IL with sprained right ankle
37163,3/3/2023,Celtics,, Malcolm Brogdon,placed on IL with sore right ankle
37164,3/3/2023,Clippers,, Norman Powell,placed on IL with left shoulder subluxation
37165,3/3/2023,Kings,, Richaun Holmes,placed on IL with illness
37166,3/3/2023,Lakers, Anthony Davis,,activated from IL
37167,3/3/2023,Nuggets,, Vlatko Cancar,placed on IL with sprained right wrist
37168,3/3/2023,Pistons,, Alec Burks,placed on IL with sore left foot
37169,3/3/2023,Pistons,, Bojan Bogdanovic,placed on IL with Achilles injury
37170,3/3/2023,Rockets,, Jae'Sean Tate,placed on IL with right ankle injury
37171,3/3/2023,Spurs,, Devin Vassell,placed on IL with left knee injury
37172,3/3/2023,Spurs,, Doug McDermott,placed on IL with sprained right thumb
37173,3/3/2023,Magic, Jonathan Isaac,,activated from IL
37174,3/3/2023,Spurs, Isaiah Roby,,activated from IL
37175,3/3/2023,Magic,, Jonathan Isaac,placed on IL with torn left adductor (out for season)
37153,3/2/2023,76ers, Joel Embiid,,activated from IL
37154,3/2/2023,Clippers,, Ivica Zubac,placed on IL with strained right calf
37155,3/2/2023,Clippers,, Marcus Morris,placed on IL with left elbow injury
37156,3/2/2023,Kings, De'Aaron Fox,,activated from IL
37157,3/2/2023,Nets,, Yuta Watanabe,placed on IL with sore back
37158,3/2/2023,Pacers,, Tyrese Haliburton,placed on IL with sore calf
37159,3/2/2023,Spurs,, Keldon Johnson,placed on IL with sprained left foot
37160,3/2/2023,Spurs, Devin Vassell,,activated from IL
37161,3/2/2023,Spurs, Tre Jones,,activated from IL
37140,3/1/2023,76ers,, Joel Embiid,placed on IL with sore left foot
37141,3/1/2023,Blazers, Anfernee Simons,,activated from IL
37142,3/1/2023,Grizzlies, Jake LaRavia,,activated from IL
37143,3/1/2023,Hornets,, LaMelo Ball,placed on IL with fractured right ankle
37144,3/1/2023,Lakers,, Anthony Davis,placed on IL with stress reaction in right foot
37145,3/1/2023,Pelicans,, Jonas Valanciunas,placed on IL with left calf injury
37146,3/1/2023,Pistons,, Isaiah Livers,placed on IL with sprained left ankle
37147,3/1/2023,Pistons,, Isaiah Stewart,placed on IL with sore right hip
37148,3/1/2023,Pistons, Bojan Bogdanovic,,activated from IL
37149,3/1/2023,Rockets, Kevin Porter Jr.,,activated from IL
37150,3/1/2023,Suns,, Terrence Ross,placed on IL with toe injury
37151,3/1/2023,Thunder,, Kenrich Williams,placed on IL with sprained left wrist
37152,3/1/2023,Wizards, Kristaps Porzingis,,activated from IL
37128,2/28/2023,Bucks, Giannis Antetokounmpo,,activated from IL
37129,2/28/2023,Clippers, Ivica Zubac,,activated from IL
37130,2/28/2023,Grizzlies,, Jake LaRavia,placed on IL with sore back
37131,2/28/2023,Jazz,, Jordan Clarkson,placed on IL with sprained right thumb
37132,2/28/2023,Kings,, De'Aaron Fox,placed on IL with sore left wrist
37133,2/28/2023,Mavericks, Maximilian Kleber / Maxi Kleber,,activated from IL
37134,2/28/2023,Raptors,, Dalano Banton,placed on IL with sprained left thumb
37135,2/28/2023,Suns, Kevin Durant,,activated from IL
37136,2/28/2023,Timberwolves, Rudy Gobert,,activated from IL
37137,2/28/2023,Warriors, Draymond Green,,activated from IL
37138,2/28/2023,Thunder, Shai Gilgeous-Alexander,,activated from IL
37139,2/28/2023,Thunder,, Shai Gilgeous-Alexander,placed on IL with NBA health and safety protocols
37125,2/27/2023,Lakers,, LeBron James,placed on IL with right foot injury
37126,2/27/2023,Magic,, left knee injury (DTD),placed on IL with left knee injury
37127,2/27/2023,Pistons,, Bojan Bogdanovic,placed on IL with sore Achilles
37117,2/26/2023,Bucks,, Giannis Antetokounmpo,placed on IL with bruised right quadriceps
37118,2/26/2023,Hawks, John Collins (Martin),,activated from IL
37119,2/26/2023,Lakers,, D'Angelo Russell,placed on IL with sprained right ankle
37120,2/26/2023,Nuggets, Aaron Gordon,,activated from IL
37121,2/26/2023,Pelicans,, Larry Nance Jr.,placed on IL with sprained left ankle
37122,2/26/2023,Timberwolves,, Jaylen Nowell,placed on IL with left knee injury
37123,2/26/2023,Timberwolves,, Rudy Gobert,placed on IL with illness
37124,2/26/2023,Wizards,, Monte Morris,placed on IL with sore lower back
37107,2/25/2023,76ers,, Dewayne Dedmon,placed on IL with left hip injury
37108,2/25/2023,Blazers,, Ryan Arcidiacono,placed on IL with sore lower back
37109,2/25/2023,Bucks, Pat Connaughton,,activated from IL
37110,2/25/2023,Grizzlies, Luke Kennard,,activated from IL
37111,2/25/2023,Hornets,, P.J. Washington,placed on IL with sprained right foot
37112,2/25/2023,Knicks, Evan Fournier,,activated from IL
37113,2/25/2023,Magic,, Jonathan Isaac,placed on IL with left knee injury
37114,2/25/2023,Pelicans, Dyson Daniels,,activated from IL
37115,2/25/2023,Pistons, Marvin Bagley III,,activated from IL
37116,2/25/2023,Wizards,, Kristaps Porzingis,placed on IL with sore left knee
37101,2/24/2023,Bucks,, Wesley Matthews / Wes Matthews Jr.,placed on IL with strained right calf
37102,2/24/2023,Nets,, Ben Simmons,placed on IL with sore left knee
37103,2/24/2023,Pistons,, Jalen Duren,placed on IL with sore ankle
37104,2/24/2023,Suns, Cameron Payne,,activated from IL
37105,2/24/2023,Thunder,, Shai Gilgeous-Alexander,placed on IL with sore right ankle
37106,2/24/2023,Warriors,, Draymond Green,placed on IL with bruised right knee
37086,2/23/2023,Bucks, Bobby Portis,,activated from IL
37087,2/23/2023,Bucks, Khris Middleton,,activated from IL
37088,2/23/2023,Bulls, Alex Caruso,,activated from IL
37089,2/23/2023,Bulls, DeMar DeRozan,,activated from IL
37090,2/23/2023,Bulls, Derrick Jones Jr.,,activated from IL
37091,2/23/2023,Celtics, Jaylen Brown,,activated from IL
37092,2/23/2023,Clippers,, Ivica Zubac,placed on IL with strained right calf
37093,2/23/2023,Hawks,, John Collins (Martin),placed on IL with concussion protocols
37094,2/23/2023,Heat, Tyler Herro,,activated from IL
37095,2/23/2023,Hornets, Kelly Oubre Jr.,,activated from IL
37096,2/23/2023,Jazz, Lauri Markkanen,,activated from IL
37097,2/23/2023,Jazz, Rudy Gay,,activated from IL
37098,2/23/2023,Kings, Malik Monk,,activated from IL
37099,2/23/2023,Knicks,, Evan Fournier,placed on IL with illness
37100,2/23/2023,Pelicans, Larry Nance Jr.,,activated from IL
37075,2/22/2023,Blazers, Jerami Grant,,activated from IL
37076,2/22/2023,Cavaliers, Cedi Osman,,activated from IL
37077,2/22/2023,Celtics, Robert Williams III,,activated from IL
37078,2/22/2023,Grizzlies,, Luke Kennard,placed on IL with illness
37079,2/22/2023,Jazz,, Collin Sexton,placed on IL with strained left hamstring
37080,2/22/2023,Mavericks, Kyrie Irving,,activated from IL
37081,2/22/2023,Mavericks, Tim Hardaway Jr.,,activated from IL
37082,2/22/2023,Nuggets, Jamal Murray,,activated from IL
37083,2/22/2023,Pacers, Daniel Theis,,activated from IL
37084,2/22/2023,Raptors, Gary Trent Jr.,,activated from IL
37085,2/22/2023,Raptors, Ogugua Anunoby / O.G. Anunoby,,activated from IL
37072,2/16/2023,Blazers,, Anfernee Simons,placed on IL with sprained right ankle
37073,2/16/2023,Bucks,, Khris Middleton,placed on IL with sore right knee
37074,2/16/2023,Bulls,, Alex Caruso,placed on IL with sore left foot
37053,2/15/2023,Bucks,, Pat Connaughton,placed on IL with left calf injury
37054,2/15/2023,Bulls, Alex Caruso,,activated from IL
37055,2/15/2023,Cavaliers,, Cedi Osman,placed on IL with neck spasms
37056,2/15/2023,Celtics, Al Horford,,activated from IL
37057,2/15/2023,Celtics, Jayson Tatum,,activated from IL
37058,2/15/2023,Celtics, Marcus Smart,,activated from IL
37059,2/15/2023,Hawks, John Collins (Martin),,activated from IL
37060,2/15/2023,Heat,, Tyler Herro,placed on IL with bruised left knee
37061,2/15/2023,Heat, Duncan Robinson,,activated from IL
37062,2/15/2023,Hornets, Kai Jones,,activated from IL
37063,2/15/2023,Jazz,, Lauri Markkanen,placed on IL with sore right knee
37064,2/15/2023,Jazz,, Rudy Gay,placed on IL with illness
37065,2/15/2023,Lakers, LeBron James,,activated from IL
37066,2/15/2023,Mavericks,, Kyrie Irving,placed on IL with tightness in lower back
37067,2/15/2023,Nets, Seth Curry,,activated from IL
37068,2/15/2023,Pacers,, Daniel Theis,placed on IL with sprained right thumb
37069,2/15/2023,Pelicans,, Larry Nance Jr.,placed on IL with left groin injury
37070,2/15/2023,Pelicans, C.J. McCollum,,activated from IL
37071,2/15/2023,Spurs, Doug McDermott,,activated from IL
37044,2/14/2023,Blazers,, Jerami Grant,placed on IL with concussion protocols
37045,2/14/2023,Bulls,, DeMar DeRozan,placed on IL with thigh injury
37046,2/14/2023,Bulls,, Derrick Jones Jr.,placed on IL with strained left adductor
37047,2/14/2023,Celtics,, Al Horford,placed on IL with swollen right knee
37048,2/14/2023,Celtics,, Jayson Tatum,placed on IL with illness
37049,2/14/2023,Celtics, Malcolm Brogdon,,activated from IL
37050,2/14/2023,Raptors,, Gary Trent Jr.,placed on IL with strained left calf
37051,2/14/2023,Spurs,, Isaiah Roby,placed on IL with sprained right ankle
37052,2/14/2023,Wizards, Kyle Kuzma,,activated from IL
37039,2/13/2023,Bulls,, Alex Caruso,placed on IL with sore left foot
37040,2/13/2023,Hawks,, John Collins (Martin),placed on IL with left hip flexor injury
37041,2/13/2023,Kings,, Malik Monk,placed on IL with sprained right ankle
37042,2/13/2023,Mavericks,, Tim Hardaway Jr.,placed on IL with tightness in right hamstring
37043,2/13/2023,Pelicans,, C.J. McCollum,placed on IL with sprained right ankle
37036,2/12/2023,Celtics,, Malcolm Brogdon,placed on IL with sore right Achilles
37037,2/12/2023,Celtics, Al Horford,,activated from IL
37038,2/12/2023,Spurs,, Khem Birch,placed on IL with knee injury
37028,2/11/2023,Hornets,, Kai Jones,placed on IL with sprained left ankle
37029,2/11/2023,Magic, Gary Harris,,activated from IL
37030,2/11/2023,Mavericks, Luka Doncic,,activated from IL
37031,2/11/2023,Nets, Nicolas Claxton / Nic Claxton,,activated from IL
37032,2/11/2023,Nuggets,, Aaron Gordon,placed on IL with bruised left ribcage
37033,2/11/2023,Spurs,, Doug McDermott,placed on IL with right Achilles injury
37034,2/11/2023,Spurs, Jeremy Sochan,,activated from IL
37035,2/11/2023,Wizards, Monte Morris,,activated from IL
37027,2/10/2023,Blazers, Keon Johnson,,activated from IL
37019,2/9/2023,Bulls, DeMar DeRozan,,activated from IL
37020,2/9/2023,Cavaliers, Darius Garland,,activated from IL
37021,2/9/2023,Cavaliers, Donovan Mitchell,,activated from IL
37022,2/9/2023,Celtics,, Jaylen Brown,placed on IL with facial fracture
37023,2/9/2023,Lakers,, LeBron James,placed on IL with sore left ankle
37024,2/9/2023,Magic,, Gary Harris,placed on IL with right adductor injury
37025,2/9/2023,Nets,, Nicolas Claxton / Nic Claxton,placed on IL with hamstring injury
37026,2/9/2023,Nets, Yuta Watanabe,,activated from IL
37010,2/8/2023,Cavaliers,, Darius Garland,placed on IL with right thumb injury
37011,2/8/2023,Cavaliers,, Donovan Mitchell,placed on IL with left groin injury
37012,2/8/2023,Celtics,, Al Horford,placed on IL with swollen right knee
37013,2/8/2023,Celtics,, Robert Williams III,placed on IL with sprained left ankle
37014,2/8/2023,Celtics, Jaylen Brown,,activated from IL
37015,2/8/2023,Celtics, Luke Kornet,,activated from IL
37016,2/8/2023,Heat, Orlando Robinson,,activated from IL
37017,2/8/2023,Spurs,, Dewayne Dedmon,placed on IL with left hip injury
37018,2/8/2023,Wizards,, Monte Morris,placed on IL with back injury
37001,2/7/2023,Bulls,, DeMar DeRozan,placed on IL with right hip injury
37002,2/7/2023,Heat,, Kyle Lowry,placed on IL with sore left knee
37003,2/7/2023,Lakers, Austin Reaves,,activated from IL
37004,2/7/2023,Nets,, Yuta Watanabe,placed on IL with back injury
